"Subsystem / Component
Description"	Function	Potential Failure Mode	Potential Effects of Failure	Severity	Potential Cause of Failure	"Occurrence
Probability"	Control Method	Detection	RPN	Recommended Action
MPHX Jig 	The jig is used to hold the MPHX plate during the gluing and lamina application processes	Jig printed in two sections offers no way to ensure linearity	Uneven glue distribution 	8	Connection point not secure and side walls are not going to be truly perpendicular to jig face  	8	Visually inspect operation and glue distribution 	6	384	Machine the jig out of metal (single piece) 
Roller Adhesive 	Adheres MPHX plate and lamina	Short pot life  	Won't be able to make as large of a batch before cleaning and or diluting	7	Rollers mixing adhesive causing it to set faster 	10	We will be doing tests to attempt to dilute the adhesive and revive the pot	5	350	Dilute adhesive using MEK and acetone
Whole system	A byproduct of production rate	Too slow of a cycle time, not enough modules produced	Smaller batches/inability to meet desired output	7	Too slow of a production speed	9	Tests for cycle time (how long it takes for one jig to be glued)	5	315	
MPHX Jig 	Holds the MPHX plates in place	Surface of the front of the MPHX jig is coated in glue and adheres to the lamina during curing	Inability to produce modules (wasted materials), need to reprint and assemble the jigs, significant time and money loss	9	Inaccurate glue distribution	5	Tetectible once the MPHX plate has glue and is placed onto the lamina jig	6	270	Lower the height of the plate slot edge in the 3d print/CAD
Lamina Jig	Holds the lamina for lamina and plate adhesion	Ridges on lamina jig prevent jigs from properly applying pressure and adhering the MPHX modules to the lamina	The lamina is not in contact with the glued MPHX plate and the two are not bonded/uneven bonding pressure	9	The lamina ridges are too high/extrude to far from the base of the lamina jig causing a space between the lamina and MPHX jigs	5	Tetectible once the MPHX plate has glue and is placed onto the lamina jig	6	270	Decrease the lenghts on the shim stock side rails on the MPHX jig and create mirror indents on the MPHX jig mathching the ridges on the lamina jig
MPHX Plate	Adhesion	Insufficient glue application	MPHX Plate fails to seal	6	Side ridges are uneven making seal impossible	6	Requires full wet run with pressure test	7	252	
MPHX and Lamina Jg	Holds the MPHX plates and lamina	Excess glue is applied to jig in unexpected location and adheres the jigs together	Inability to seperate jigs and access finished plates. Requiring new jig and wasting module materials	9	Jig features in line with adhesive roller path	10	Adhesive visible on jig surface. Resistance to jig seperation	2	180	Ensure the rollers are always in line with the MPHX jig and ONLY the MPHX jig. Visually inspect side rails prior to lamina application
Feed Support Bars	Holds the jig as it slides over the roller	Misalignment with feed on other side	Jig gets blocked by feed 	7	Difficulty in aligning separate 80x20 pieces across large distance	7	Easily detected through basic testing	3	147	Update design to include large cross bars to prevent misalignment
Feed Support Bars	Guide jig over adhesive rollers	Lack of bearing for guidance to the jig sides 	Jig catches (feed plate) or essesive friction 	4	Side friction on jigs	4	Vissually observation of device in testing	9	144	Add side bearings to desgin of feed plate
Feed and Roller Plate	Foundational structure holding everything together and inline	Location of fasteners create bending moment to cause structure to deflect into a U shape	Feed is slightly angled and unstable. Can be mitigated by adjusting Feed angle	5	Separate beam on either side means that there is no stabilizing force, allowing it to bend in this fashion	9	Easily detected by rocking frame and checking for feet offset	3	135	Update design to include large cross bars to prevent bending across center plate
